model,date,actual_value,predicted_value,residual,r2,mae
中国铝业 601600.SH,2025-06-30,6.78,6.908862417486411,-0.12886241748641059,0.4962300933895647,1.3911082547052067
中国铝业 601600.SH,2025-07-31,7.17,6.925800904486707,0.24419909551329333,0.4962300933895647,1.3911082547052067
中国铝业 601600.SH,2025-08-31,7.71,7.056717377260394,0.6532826227396056,0.4962300933895647,1.3911082547052067
中国铝业 601600.SH,2025-09-30,8.12,7.046863525923364,1.0731364740766356,0.4962300933895647,1.3911082547052067
中国铝业 601600.SH,2025-10-31,9.99,7.721442242628376,2.2685577573716245,0.4962300933895647,1.3911082547052067
中国铝业 601600.SH,2025-11-30,10.51,8.51550668938964,1.994493310610359,0.4962300933895647,1.3911082547052067
中国铝业 601600.SH,2025-12-31,12.22,10.554483177082489,1.6655168229175121,0.4962300933895647,1.3911082547052067
中国铝业 601600.SH,2026-01-31,14.13,13.359037999682073,0.7709620003179278,0.4962300933895647,1.3911082547052067
中国铝业 601600.SH,2026-02-28,13.72,12.639416233331453,1.080583766668548,0.4962300933895647,1.3911082547052067
中国铝业 601600.SH,2026-03-31,11.4,14.429766636425597,-3.029766636425597,0.4962300933895647,1.3911082547052067
中国铝业 601600.SH,2026-04-30,11.65,13.029106653696402,-1.379106653696402,0.4962300933895647,1.3911082547052067
中国铝业 601600.SH,2026-05-31,11.42,12.562308855098458,-1.1423088550984577,0.4962300933895647,1.3911082547052067
中国铝业 601600.SH,2026-06-30,9.38,12.033630898245313,-2.6536308982453125,0.4962300933895647,1.3911082547052067
