dataset,rows,missing_rate,stale,mean_parse_confidence,warning,source
financial_quarterly,50,0.0,False,0.0,,
production_quarterly,25,0.0325,False,0.8439999999999999,,
chalco_quarterly_features,25,0.42947368421052634,False,,,
zijin_quarterly_features,25,0.2866666666666667,False,,,
api:stock_601600,,,True,,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20200622&end=20260621&rtntype=6&secid=1.601600&klt=101&fqt=1 (Caused by ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))",CACHE
api:stock_601899,,,True,,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20200622&end=20260621&rtntype=6&secid=1.601899&klt=101&fqt=1 (Caused by ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))",CACHE
api:financial_quarterly,,,False,,50 quarterly records,API_SINA
api:china_pmi_monthly,,,False,,221 rows,API_EASTMONEY
api:hs300_daily,,,True,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",CACHE
api:quarterly_features,,,False,,"chalco=25, zijin=25",API_AND_CACHE
api:profit_models,,,False,,"[{'company': 'chalco', 'features': ['al_spread', 'alumina_price', 'demand_score', 'is_q4'], 'training_rows': 12, 'status': 'fitted', 'estimator': 'StandardScaler+RidgeCV', 'alpha': 10000.0}, {'company': 'zijin', 'features': ['cu_price', 'au_price_rmb_g', 'cu_au_revenue_index', 'demand_score', 'is_q4'], 'training_rows': 24, 'status': 'fitted', 'estimator': 'StandardScaler+RidgeCV', 'alpha': 1.0}]",LOCAL_MODEL
api:announcement_index,,,False,,52 periodic reports,API_CNINFO_PDF
api:stock_raw_601600,,,False,,1564 raw rows through 2026-06-18 00:00:00,efinance_eastmoney
api:stock_raw_601899,,,False,,1564 raw rows through 2026-06-18 00:00:00,efinance_eastmoney
api:stock_raw_000300,,,False,,1564 raw rows through 2026-06-18 00:00:00,efinance_eastmoney
api:production_quarterly,,,False,,51 parsed rows,API_CNINFO_PDF
financial:revenue_cum,50,0.0,False,,,
financial:net_profit_cum,50,0.0,False,,,
financial:eps_cum,50,0.0,False,,,
financial:announcement_date,50,0.0,False,,,
financial:revenue_q,50,0.0,False,,,
financial:net_profit_q,50,0.0,False,,,
financial:eps_q,50,0.0,False,,,
financial:attributable_profit,50,0.0,False,,,
announcement_index,52,0.0,False,,,
announcement:pdf_download,52,0.019230769230769232,False,,some PDF downloads failed,
macro:PMI,221,0.4,True,,missing or older than 10 days,
macro:HS300,0,1.0,True,,missing or older than 10 days,
chalco:alumina_2020_2023,12,0.48,False,,AO futures unavailable before 2023-06-19; use SMM API or fallback,
