code,period,source_pdf,source_title,extracted_cu_raw,extracted_cu_unit,cu_ton,extracted_au_raw,extracted_au_unit,au_kg,anchor_cu_ton,anchor_au_kg,cu_anchor_diff_pct,au_anchor_diff_pct,parse_confidence,strict_usable,proxy_usable,parse_warning
601899,2023Q1,reports\601899\2023\601899_2023Q1.pdf,紫金矿业集团股份有限公司2023年第一季度报告,,,,,,,,,,,0.0,False,False,
601899,2023Q2,reports\601899\2023\601899_2023Q2.pdf,紫金矿业集团股份有限公司2023年半年度报告,49.0,万吨,490000.0,32.0,吨,32000.0,,,,,0.7,False,False,CUMULATIVE_DATA_NEEDS_QUARTER_CONVERSION
601899,2023Q3,reports\601899\2023\601899_2023Q3.pdf,紫金矿业集团股份有限公司2023年第三季度报告,,,,,,,,,,,0.0,False,False,CUMULATIVE_DATA_NEEDS_QUARTER_CONVERSION
601899,2023Q4,reports\601899\2023\601899_2023Q4.pdf,紫金矿业集团股份有限公司2023年年度报告,100.73,万吨,1007300.0,67726.0,千克,67726.0,1010000.0,67500.0,0.0026732673267326735,0.0033481481481481483,0.8999999999999999,False,False,CUMULATIVE_DATA_NEEDS_QUARTER_CONVERSION
601899,2024Q1,reports\601899\2024\601899_2024Q1.pdf,紫金矿业集团股份有限公司2024年第一季度报告,,,,,,,,,,,0.0,False,False,
601899,2024Q2,reports\601899\2024\601899_2024Q2.pdf,紫金矿业集团股份有限公司2024年半年度报告,51.9,万吨,519000.0,35.4,吨,35400.0,,,,,0.7,False,False,CUMULATIVE_DATA_NEEDS_QUARTER_CONVERSION
601899,2024Q3,reports\601899\2024\601899_2024Q3.pdf,紫金矿业集团股份有限公司2024年第三季度报告,,,,,,,,,,,0.0,False,False,CUMULATIVE_DATA_NEEDS_QUARTER_CONVERSION
601899,2024Q4,reports\601899\2024\601899_2024Q4.pdf,紫金矿业集团股份有限公司2024年年报报告,107.0,万吨,1070000.0,72938.0,千克,72938.0,1070000.0,72938.0,0.0,0.0,0.8999999999999999,False,False,CUMULATIVE_DATA_NEEDS_QUARTER_CONVERSION
601899,2025Q1,reports\601899\2025\601899_2025Q1.pdf,紫金矿业集团股份有限公司2025年第一季度报告,,,,,,,,,,,0.0,False,False,
601899,2025Q2,reports\601899\2025\601899_2025Q2.pdf,紫金矿业集团股份有限公司2025年半年度报告,57.0,万吨,570000.0,41.0,吨,41000.0,,,,,0.7,False,False,CUMULATIVE_DATA_NEEDS_QUARTER_CONVERSION
601899,2025Q3,reports\601899\2025\601899_2025Q3.pdf,紫金矿业集团股份有限公司2025年第三季度报告,83.0,万吨,830000.0,65.0,吨,65000.0,,,,,0.7,False,False,CUMULATIVE_DATA_NEEDS_QUARTER_CONVERSION
601899,2025Q4,reports\601899\2025\601899_2025Q4.pdf,紫金矿业集团股份有限公司2025年年度报告,109.0,万吨,1090000.0,89544.0,千克,89544.0,1090000.0,89577.0,0.0,0.0003683981379148665,0.8999999999999999,False,False,CUMULATIVE_DATA_NEEDS_QUARTER_CONVERSION
601899,2026Q1,reports\601899\2026\601899_2026Q1.pdf,紫金矿业集团股份有限公司2026年第一季度报告,26.0,万吨,260000.0,23.5,吨,23500.0,260000.0,23500.0,0.0,0.0,0.8999999999999999,True,False,
